date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:08	179/179	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Apr%202025%2009:54:09%20GMT	http://www.ourclass.site/robots.txt		(from )
14:54:08	13329/13329	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:54:10%20GMT	http://www.ourclass.site/	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/index.html	(from )
14:54:09	1304/1304	---M--	200	added ('OK')	text/css	etag:%226641a9f3-518%22	http://www.ourclass.site/static/static/Home/style.css	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/static/static/Home/style.css	(from http://www.ourclass.site/)
14:54:09	4293/4293	---M--	200	added ('OK')	text/css	etag:%226641737a-10c5%22	http://www.ourclass.site/static/static/Home/homepage.css	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/static/static/Home/homepage.css	(from http://www.ourclass.site/)
14:54:09	34672/34672	---M--	200	added ('OK')	image/svg+xml	etag:%226645aaf9-8770%22	http://www.ourclass.site/static/static/Home/Pics/12C.svg	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/static/static/Home/Pics/12C.svg	(from http://www.ourclass.site/)
14:54:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Apr%202025%2009:54:12%20GMT	http://www.ourclass.site/event/details/193	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/event/details/193.5.delayed	(from http://www.ourclass.site/)
14:54:10	3475/3475	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:54:12%20GMT	http://www.ourclass.site/event/details/193/	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/event/details/193/index.html	(from http://www.ourclass.site/)
14:54:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Apr%202025%2009:54:13%20GMT	http://www.ourclass.site/event/details/192	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/event/details/192	(from http://www.ourclass.site/)
14:54:11	2267/2267	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:54:13%20GMT	http://www.ourclass.site/event/details/192/	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/event/details/192/index.html	(from http://www.ourclass.site/)
14:54:14	216340/216340	---M--	200	added ('OK')	image/jpeg	etag:%2267c946d8-34d14%22	http://www.ourclass.site/static/media/thumbnails/viber_image_2025-01-27_22-55-39-502.jpg	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/static/media/thumbnails/viber_image_2025-01-27_22-55-39-502.jpg	(from http://www.ourclass.site/)
14:54:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Apr%202025%2009:54:16%20GMT	http://www.ourclass.site/event/details/191	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/event/details/191	(from http://www.ourclass.site/)
14:54:15	2586/2586	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:54:16%20GMT	http://www.ourclass.site/event/details/191/	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/event/details/191/index.html	(from http://www.ourclass.site/)
14:54:15	661172/661172	---M--	200	added ('OK')	image/png	etag:%22664a1a0b-a16b4%22	http://www.ourclass.site/static/static/Home/Pics/Yipee.png	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/static/static/Home/Pics/Yipee.png	(from http://www.ourclass.site/)
14:54:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Apr%202025%2009:54:17%20GMT	http://www.ourclass.site/event/details/188	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/event/details/188	(from http://www.ourclass.site/)
14:54:16	2153/2153	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:54:17%20GMT	http://www.ourclass.site/event/details/188/	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/event/details/188/index.html	(from http://www.ourclass.site/)
14:54:18	136478/136478	---M--	200	added ('OK')	image/png	etag:%22673420d1-2151e%22	http://www.ourclass.site/static/media/thumbnails/Screenshot_2024-11-13_084440.png	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/static/media/thumbnails/Screenshot_2024-11-13_084440.png	(from http://www.ourclass.site/)
14:54:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Apr%202025%2009:54:20%20GMT	http://www.ourclass.site/event/details/187	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/event/details/187	(from http://www.ourclass.site/)
14:54:19	2090/2090	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:54:21%20GMT	http://www.ourclass.site/event/details/187/	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/event/details/187/index.html	(from http://www.ourclass.site/)
14:54:29	1405105/1405105	---M--	200	added ('OK')	image/png	etag:%2266366539-1570b1%22	http://www.ourclass.site/static/static/Home/Pics/homepagepics.png	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/static/static/Home/Pics/homepagepics.png	(from http://www.ourclass.site/)
14:54:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Apr%202025%2009:54:31%20GMT	http://www.ourclass.site/event/details/185	C:/My%20Web%20Sites/class%20website%202/www.ourclass.site/event/details/185.f.delayed	(from http://www.ourclass.site/)
